batter,batter_id,pa,xwoba,xba,xslg,avg_ev,hardhit_rate,batter_score
Aaron Judge,592450,99,0.6376709333840961,0.5032545988601205,1.2762510796159225,90.88181818181819,0.12121212121212122,2.2892204991250846
Adam Frazier,624428,83,0.23494969999999998,0.21131250000000001,0.2791875,80.778125,0.024096385542168676,-0.6689462137915487
Addison Barger,680718,88,0.38659942857142854,0.35095384615384617,0.6171641025641025,82.4962962962963,0.07954545454545454,0.44249684249901594
Adley Rutschman,668939,57,0.25426417647058824,0.19433333333333336,0.24225,76.55499999999999,0.07017543859649122,-0.6208112914812067
Adolis García,666969,60,0.37463127922077927,0.3380451739618406,0.8635589225589225,87.03529411764706,0.05,0.6042045383521566
Adrian Del Castillo,680728,45,0.5421001729323308,0.463781015037594,1.0973828320802006,81.03636363636363,0.06666666666666667,1.3354309992751536
Agustín Ramírez,682663,88,0.2010712857142857,0.25807142857142856,0.32457142857142857,83.61818181818182,0.07954545454545454,-0.4551385079130858
Alec Bohm,664761,92,0.42095211786600495,0.4500605571847507,0.628483137829912,88.55499999999999,0.17391304347826086,1.1314636050842912
Alec Burleson,676475,52,0.2909685625,0.3434166666666667,0.43416666666666665,90.95,0.1346153846153846,0.39720166367053844
Alejandro Kirk,672386,97,0.4702300117261545,0.4498521164213215,0.9958147094172211,85.1975,0.13402061855670103,1.3376418933747205
Alejandro Osuna,696030,78,0.28987979365079364,0.295885989010989,0.5238585164835166,82.42592592592592,0.05128205128205128,-0.09791460549953863
Alek Thomas,677950,50,0.232125,0.38970000000000005,0.4447,81.65882352941176,0.04,-0.3318669435093656
Alex Bregman,608324,72,0.28966561344537817,0.2884725501770956,0.47600177095631646,86.11818181818181,0.125,0.2028274618373244
Alex Call,669743,30,0.2637852857142858,0.23475000000000001,0.45425000000000004,83.85714285714286,0.03333333333333333,-0.305114569805759
Alex Jackson,656577,18,0.0,0.3088236077868225,0.5274441007943793,89.15,0.05555555555555555,-0.8785523280980828
Alexander Canario,672744,50,0.1710909090909091,0.35525,0.7735,74.14285714285714,0.06,-0.49738923906073973
Amed Rosario,642708,17,0.06325,0.238,0.268,77.60000000000001,0.058823529411764705,-1.2326551899075728
Andrew Knizner,668800,26,0.3724277142857143,0.2258,0.348,79.26666666666667,0.11538461538461539,0.11366757826595934
Andrew McCutchen,457705,67,0.2880935625,0.33725,0.411,83.75652173913043,0.08955223880597014,0.01169379026224258
Andrew Vaughn,683734,57,0.41262065263157893,0.46672631578947366,0.6533157894736842,91.36666666666666,0.10526315789473684,0.9996742282918907
Andruw Monasterio,655316,36,0.15637500000000001,0.22039999999999998,0.36219999999999997,82.2,0.05555555555555555,-0.7334306778719131
Andrés Chaparro,665953,11,0.0,0.3088236077868225,0.5274441007943793,83.75,0.0,-1.2129486888159886
Andrés Giménez,665926,55,0.23199962500000001,0.2081818181818182,0.2591818181818182,80.86190476190475,0.07272727272727272,-0.5396151493959064
Andy Ibáñez,628451,69,0.39140568750000004,0.3942727272727273,0.4805454545454545,81.02592592592592,0.057971014492753624,0.28811758956987826
Andy Pages,681624,101,0.27980629812865493,0.36344408640649245,0.699702160908223,80.56764705882354,0.06930693069306931,0.05238592436783806
Angel Martínez,682657,61,0.17711906666666666,0.12783333333333333,0.14491666666666667,76.976,0.0,-1.22430514812393
Anthony Santander,623993,62,0.22923216666666665,0.361,0.4065,75.56470588235294,0.04838709677419355,-0.5459654796327366
Anthony Volpe,683011,102,0.24867678669815033,0.2606863483575248,0.49446026483320604,83.6861111111111,0.06862745098039216,-0.19998306252836887
Austin Hays,669720,5,0.021,0.013,0.036,94.8,0.0,-1.4184203258741845
Austin Hedges,595978,34,0.443062125,0.5828,0.7542,84.43333333333334,0.11764705882352941,1.1122300280921396
Austin Martin,668885,80,0.31254704093567254,0.27519791666666665,0.47748582175925924,77.20322580645161,0.075,-0.14816671550415852
Austin Slater,596103,6,0.0245,0.046,0.046,83.0,0.0,-1.7171768711696693
Austin Wells,669224,59,0.30310273224043716,0.5036905737704919,0.8279323770491804,86.83636363636364,0.15254237288135594,0.7921590497825433
Ben Rice,700250,86,0.4804601041353383,0.35766752543122515,0.795605047545334,85.825,0.10465116279069768,1.0773989058219489
Ben Rortvedt,666163,60,0.24716140601503758,0.2231988304093567,0.33651461988304093,79.51176470588236,0.05,-0.5309084084828892
