batter,batter_id,pa,xwoba,xslg,xba,avg_ev,hardhit_rate,batter_score,years_covered,prior_window
Albert Pujols,405395,70.0,0.5181198794077153,1.0070027307702327,0.4544791091275634,87.80467575841915,0.11104926245477317,1.5676327139684991,2,2021-2022
Miguel Cabrera,408234,206.0,0.3032866072912361,0.5060046939940108,0.297599750137903,83.37974914142133,0.07668273522585253,0.02940646236872915,3,2021-2023
Adam Wainwright,425794,13.0,0.07676891334250344,0.27044291609353505,0.25160522696011006,70.0111416781293,0.0921595598349381,-1.0036346564757812,2,2021-2023
Yadier Molina,425877,64.0,0.1837422126745435,0.3366522556390977,0.27448872180451134,77.25318644204093,0.06422305764411028,-0.6814581955739708,2,2021-2022
Kurt Suzuki,435559,68.0,0.3056963615174078,0.338433702749177,0.1982978310132729,79.71162882116265,0.055681450307542894,-0.27296762351534715,2,2021-2022
Nelson Cruz,443558,114.0,0.26718431078905,0.5894760686883449,0.24984779868469129,83.98205128205129,0.10526315789473684,0.10228610956327494,1,2021-2021
David Peralta,444482,237.0,0.36414041341344494,0.5574913955653632,0.36995063415034934,81.52974444005281,0.09130170726769687,0.3523435992765825,4,2021-2024
Manny Piña,444489,28.0,0.32575456349206344,0.861805357142857,0.34338363095238095,86.12222222222222,0.14285714285714285,0.6715177149200545,1,2021-2021
Alcides Escobar,444876,105.0,0.33465102479338843,0.5278005050505051,0.3542979797979798,75.41612903225807,0.028571428571428567,0.0020692782051589947,1,2021-2021
Evan Longoria,446334,128.0,0.3064562215503804,0.61888724116265,0.26869752737637337,85.42191004498287,0.0844811753902663,0.26295140340210504,3,2021-2023
Rich Hill,448179,8.0,0.0,0.325,0.285,28.3,0.0,-1.9302962293584875,1,2021-2021
Charlie Morton,450203,9.0,0.0,0.267,0.255,53.3,0.0,-1.5935506363852772,1,2021-2021
Jon Lester,452657,11.0,0.3458585,0.521826763572633,0.3087393605605791,70.8,0.0,-0.15810969477356646,1,2021-2021
Asdrúbal Cabrera,452678,1.0,0.066,0.061,0.06,76.9,0.0,-1.3658256589569062,1,2021-2021
Daniel Bard,453268,2.0,0.821,1.04,0.8599999999999999,99.9,0.5,3.6596383257962506,1,2021-2021
Max Scherzer,453286,8.0,0.006,0.019,0.011,84.75000000000001,0.0,-1.471379232398731,1,2021-2021
Charlie Blackmon,453568,238.0,0.3598707510297634,0.5141989707534346,0.34034967199461774,81.46979743447767,0.08650651673907486,0.2821305215854444,3,2021-2024
Martín Maldonado,455117,128.0,0.19769105266601097,0.5856896255077468,0.2968338119440144,78.00513510697415,0.04140038899694359,-0.4447422555328876,3,2021-2023
Robinson Chirinos,455139,19.0,0.23283333333333334,0.3666,0.291,82.44444444444444,0.10526315789473684,-0.27114838040137756,1,2022-2022
Johnny Cueto,456501,5.0,0.067,0.061,0.060000000000000005,56.25,0.0,-1.6997452875115533,1,2021-2021
Lorenzo Cain,456715,50.0,0.24358333333333337,0.3968888888888889,0.3328888888888889,82.84736842105262,0.08,-0.11011787808974303,1,2021-2021
Donovan Solano,456781,330.0,0.32349900695556427,0.5488448611638174,0.35480589776578675,83.7321164525816,0.09002246976143805,0.22975915006099157,5,2021-2025
Andrew McCutchen,457705,268.0,0.27037096097031377,0.4334815654057107,0.30418753654574987,82.37220385759052,0.06621548456957228,-0.15408327448113301,4,2021-2025
Justin Turner,457759,273.0,0.27433627050019377,0.46963050950982327,0.28059927698227405,81.75763984068755,0.0793792067641987,-0.1666485505063412,5,2021-2025
Buster Posey,457763,87.0,0.39359083794466404,0.47550639386189253,0.3453375959079284,82.9578947368421,0.08045977011494253,0.35785009007635055,1,2021-2021
J.A. Happ,457918,8.0,0.031,0.068,0.068,97.6,0.125,-0.8060811000340297,1,2021-2021
Joey Votto,458015,100.0,0.3571130222822592,0.41175085906311587,0.1874220400222346,81.32167071984436,0.07529182879377432,-0.04490162766006137,2,2021-2023
Brett Gardner,458731,84.0,0.16729856386999245,0.29369990079365077,0.1795421626984127,82.60344827586206,0.07142857142857142,-0.5509635609072621,1,2021-2021
Elvis Andrus,462101,166.0,0.3052221373308943,0.5539527044000954,0.28873595639719385,81.23264564952844,0.07646283338403813,0.056311540022605924,2,2022-2023
Carlos Santana,467793,365.0,0.40701277873625946,0.6004006052865517,0.359270835563763,84.95951530216144,0.10080147965474721,0.6833135429113196,5,2021-2025
Gerardo Parra,467827,7.0,0.454,0.5740000000000001,0.474,82.53333333333333,0.0,0.5052643054392737,1,2021-2021
Carlos Carrasco,471911,5.0,0.069,0.16649999999999998,0.1535,60.300000000000004,0.0,-1.4649339522915765,1,2021-2021
Brett Anderson,474463,9.0,0.0,0.521826763572633,0.3087393605605791,72.4,0.0,-1.0417118920234245,1,2021-2021
Jordy Mercer,474568,50.0,0.23312878787878788,0.5486190476190477,0.30804761904761907,81.64999999999999,0.08,-0.06491881802308155,1,2021-2021
Brandon Belt,474832,95.0,0.4377436403103017,1.1822756561319157,0.4029879017749467,82.04838709677419,0.07368421052631578,0.9788637971306478,1,2023-2023
Ryan Zimmerman,475582,48.0,0.27087181481481487,0.6035222222222225,0.27174444444444446,82.07142857142857,0.08333333333333333,0.05812305764963374,1,2021-2021
Alex Avila,488671,14.0,0.149,0.22925,0.2135,71.55,0.07142857142857142,-0.7973985079590706,1,2021-2021
Michael Brantley,488726,117.0,0.2927959424766422,0.4013797791419229,0.31486269767131514,85.9225993755992,0.15413358243811304,0.23371298036226784,2,2021-2023
Jason Castro,488771,64.0,0.5407124700854701,0.9134765432098768,0.41024444444444447,78.50000000000001,0.078125,1.0553060504327996,1,2021-2021
Yuli Gurriel,493329,231.0,0.28664343873960824,0.4232248206744294,0.299170963885971,84.22129063091072,0.1095664143152099,0.0740126581226032,4,2021-2024
Miguel Rojas,500743,202.0,0.27067983716549043,0.3703952930859759,0.3008615219395722,77.57202828443491,0.06505923924340054,-0.3591209341853139,5,2021-2025
Eduardo Escobar,500871,170.0,0.28333788219346906,0.5040692858994336,0.35231619602575315,80.9008599095504,0.05050279329608938,-0.10054336813159502,3,2021-2023
Ehire Adrianza,501303,60.0,0.3822729920871784,0.7806789384121997,0.3450311211466719,82.18310320888615,0.09683225341972641,0.5288380199793083,2,2021-2022
Juan Lagares,501571,69.0,0.2686,0.462,0.33816666666666667,78.3952380952381,0.08695652173913043,-0.04619766663489623,1,2021-2021
Abraham Almonte,501659,64.0,0.12334753333333331,0.18775,0.138125,82.64117647058823,0.046875,-1.1480331640701935,1,2022-2022
Khris Davis,501981,36.0,0.31784895833333326,0.9113416666666667,0.3401458333333333,86.65555555555555,0.08333333333333333,0.5500977706432232,1,2021-2021
Kyle Gibson,502043,6.0,0.0245,0.09,0.074,83.4,0.0,-1.334591111647584,1,2021-2021
Tommy Pham,502054,349.0,0.2882434927679342,0.45258365250984495,0.27365730484259543,81.4223801281872,0.06836235570338485,-0.12963533510918504,5,2021-2025
J.D. Martinez,502110,302.0,0.3925395372117581,0.835452050355465,0.43942281802382166,85.6013286696768,0.10967636482510625,0.8785578692932052,4,2021-2024
Paolo Espino,502179,9.0,0.2205,0.538,0.49,87.53333333333335,0.1111111111111111,0.22821423198839702,1,2021-2021
Tyler Ladendorf,502285,6.0,0.077,0.077,0.071,82.15,0.0,-1.2293813353092349,1,2021-2021
Paul Goldschmidt,502671,285.0,0.30699276179564533,0.6355085414399827,0.3287604928077291,84.67515577631461,0.09540025412960608,0.31031679002720053,5,2021-2025
Marwin Gonzalez,503556,58.0,0.242611750348675,0.5833120143454872,0.3207541841004184,83.6921262837581,0.03765690376569037,-0.09239804078560916,2,2021-2022
Yu Darvish,506433,4.0,0.0,0.521826763572633,0.30873936056057916,80.29007674668912,0.0,-0.9131208985851283,1,2021-2021
