pitcher,pitcher_id,bf,xwoba_allowed,woba_allowed,xslg_allowed,avg_ev_allowed,hardhit_allowed_rate,k_rate,bb_rate,pitcher_score
AJ Blubaugh,805123,70,0.34062425,0.23124999999999998,0.34340000000000004,80.74,0.05714285714285714,0.02857142857142857,0.05714285714285714,-0.22767376265769973
Aaron Ashby,676879,31,0.189812125,0.0875,0.2345,76.01111111111112,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.8672630842096587
Aaron Civale,650644,40,0.301020202020202,0.2636363636363636,0.6581875,84.81666666666666,0.075,0.075,0.0,-0.008193346115877444
Aaron Nola,605400,90,0.1253244939271255,0.13846153846153847,0.2688173374613003,83.51428571428572,0.07777777777777778,0.1,0.0,0.9676494934871948
Abner Uribe,682842,25,0.0585,0.0,0.13924999999999998,79.12222222222222,0.08,0.08,0.0,1.2509485347899798
Adrian Houser,605288,96,0.27654839042089985,0.36538461538461536,0.4258013902681231,83.63846153846154,0.125,0.052083333333333336,0.020833333333333332,-0.06427047839159811
Adrian Morejon,670970,25,0.5594144736842106,0.3375,0.8467368421052631,88.13333333333334,0.16,0.04,0.0,-1.4665085461860485
Alex Vesia,681911,48,0.43434910000000004,0.425,0.9796666666666667,82.21666666666667,0.041666666666666664,0.08333333333333333,0.0625,-0.6094650522622915
Andre Pallante,669467,64,0.3074995714285714,0.35714285714285715,0.462125,80.96875,0.046875,0.0625,0.03125,0.08670585819963411
Andrew Abbott,671096,85,0.32246318972033255,0.34285714285714286,0.6038136321195144,82.30666666666666,0.07058823529411765,0.047058823529411764,0.0,-0.13836585763139936
Andrew Alvarez,674841,83,0.29534325,0.21666666666666667,0.44433124999999996,82.2090909090909,0.04819277108433735,0.060240963855421686,0.03614457831325301,0.08390903459298743
Andrew Heaney,571760,53,0.28515557142857145,0.5227272727272727,0.49288392857142854,77.06875,0.03773584905660377,0.03773584905660377,0.018867924528301886,0.14889598229261802
Andrew Hoffmann,694851,24,0.37989940000000005,0.32,0.471,91.475,0.125,0.0,0.041666666666666664,-0.949679528578526
Andrew Kittredge,552640,24,0.23600000000000002,0.2571428571428572,0.6796666666666668,78.71428571428571,0.125,0.16666666666666666,0.0,0.7171101167950868
Andrew Saalfrank,685314,33,0.4478351875,0.2875,0.5410520833333333,86.22222222222223,0.06060606060606061,0.0,0.06060606060606061,-0.9973190748368785
Andrés Muñoz,662253,31,0.26433266666666666,0.29444444444444445,0.304,73.39999999999999,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.455188713941077
