pitcher,pitcher_id,p_throws,bf,games,avg_bf_per_game,xwoba_allowed,xslg_allowed,avg_ev_allowed,hardhit_allowed_rate,k_rate,bb_rate,pitcher_score,years_covered,prior_window
Adam Wainwright,425794,R,186.0,2.0,27.0,0.35959385696995316,0.569993337912088,81.92277136752138,0.06630143112701253,0.04338103756708408,0.02169051878354204,-0.2634588415835143,2,2021-2022
Zack Greinke,425844,R,269.0,4.0,27.0,0.3202905555946733,0.48687967178451524,83.16487605420555,0.08037721708718462,0.04071946040469648,0.015925555833125157,-0.15370229871505872,3,2021-2023
Ervin Santana,429722,R,72.0,2.0,27.0,0.35388470944741535,0.6467465564738292,86.2,0.1111111111111111,0.05555555555555555,0.027777777777777776,-0.2840468246163994,1,2021-2021
Scott Kazmir,431148,L,23.0,1.0,23.0,0.39790566666666666,0.2855,80.71428571428571,0.043478260869565216,0.0,0.08695652173913043,-0.42153928777291916,1,2021-2021
Yusmeiro Petit,433589,R,38.0,2.0,19.0,0.5046666666666666,0.6528888888888889,81.5,0.13157894736842105,0.0,0.0,-0.9147402561175931,1,2021-2021
Justin Verlander,434378,R,358.0,4.0,27.0,0.23321682224508353,0.42705504213800227,81.56825290390229,0.06634846607884574,0.07232383589594113,0.01293448954310282,0.3771500914667504,4,2022-2025
Aníbal Sánchez,434671,R,88.0,1.0,27.0,0.27934888636363636,0.4509553571428571,80.9423076923077,0.07954545454545454,0.06818181818181818,0.03409090909090909,0.09908875559931861,1,2022-2022
Kenley Jansen,445276,R,98.0,8.0,12.709752946875504,0.05841873889875666,0.18332787017600521,72.75826638099129,0.024382367188761505,0.1521072178265784,0.0,1.815979147863102,3,2021-2025
Jesse Chavez,445926,R,139.0,7.0,19.626958982807416,0.32190365884498057,0.5545650086596544,82.4533163932889,0.08617412241794448,0.056900266125966284,0.015333924724369532,-0.12382282003739435,3,2021-2023
Ross Detwiler,446321,L,27.0,2.0,13.5,0.4605880625,1.03464,81.23846153846154,0.14814814814814814,0.07407407407407407,0.037037037037037035,-0.6963686544763853,1,2021-2021
Corey Kluber,446372,R,161.0,2.0,26.999999999999996,0.3219319650197536,0.49367613297996665,78.48052042305163,0.07479758385811593,0.03881249196761342,0.012466263976352653,-0.01101132682268837,2,2021-2022
Rich Hill,448179,L,193.0,3.0,26.999999999999996,0.2649121146641693,0.5395495173117898,77.41737050981988,0.03836369186933957,0.07967843695939757,0.01862216342729215,0.42633458452041156,3,2021-2023
Sean Doolittle,448281,L,22.0,1.0,22.0,0.0035000000000000005,0.010499999999999999,78.2,0.0,0.09090909090909091,0.0,1.69686624007186,1,2021-2021
Charlie Morton,450203,R,319.0,5.0,26.511210285835727,0.3135392398932719,0.5853035573888213,81.5275475098698,0.07554988842843482,0.062426947189459146,0.02146424396982255,-0.046664164825758955,4,2021-2025
Jon Lester,452657,L,88.0,1.0,27.0,0.41760787209302325,0.6238226744186046,80.75925925925925,0.07954545454545454,0.045454545454545456,0.045454545454545456,-0.3954313884249384,1,2021-2021
Ian Kennedy,453178,R,39.0,3.0,13.358108108108107,0.2083364774690104,0.3353606418918919,79.91148648648648,0.05461711711711711,0.07882882882882881,0.02421171171171171,0.5875212055566584,2,2021-2022
Andrew Miller,453192,L,49.0,2.0,24.5,0.32441768831168827,0.9174857142857142,78.71000000000001,0.061224489795918366,0.1020408163265306,0.061224489795918366,0.07176286911694818,1,2021-2021
