date,game_pk,venue_id,venue,venue_key,total_runs,home_win
2025-03-01,778704,4705,Truist Park,id:4705,2,0.5
2025-03-01,778730,3309,Nationals Park,id:3309,7,1.0
2025-03-01,778756,17,Wrigley Field,id:17,11,1.0
2025-03-01,778774,3,Fenway Park,id:3,12,1.0
2025-03-01,778801,15,Chase Field,id:15,12,1.0
2025-03-01,778831,2602,Great American Ball Park,id:2602,10,1.0
2025-03-01,778858,22,Dodger Stadium,id:22,11,1.0
2025-03-01,778936,7,Kauffman Stadium,id:7,12,0.0
2025-03-01,778970,2523,George M. Steinbrenner Field,id:2523,11,0.0
2025-03-01,779018,680,T-Mobile Park,id:680,27,0.0
2025-03-01,779051,3313,Yankee Stadium,id:3313,12,1.0
2025-03-01,779079,2889,Busch Stadium,id:2889,5,1.0
2025-03-01,779099,32,American Family Field,id:32,13,1.0
2025-03-01,779111,2394,Comerica Park,id:2394,1,1.0
2025-03-01,779129,2,Oriole Park at Camden Yards,id:2,7,0.0
2025-03-01,779157,1,Angel Stadium,id:1,5,1.0
2025-03-02,778706,4705,Truist Park,id:4705,12,1.0
2025-03-02,778732,2392,Daikin Park,id:2392,7,0.0
2025-03-02,778749,17,Wrigley Field,id:17,10,0.0
2025-03-02,778769,3,Fenway Park,id:3,10,1.0
2025-03-02,778799,19,Coors Field,id:19,7,1.0
2025-03-02,778833,5,Progressive Field,id:5,24,0.5
2025-03-02,778860,22,Dodger Stadium,id:22,9,1.0
2025-03-02,778881,3312,Target Field,id:3312,10,0.5
2025-03-02,778912,2681,Citizens Bank Park,id:2681,9,1.0
2025-03-02,778935,5325,Globe Life Field,id:5325,9,1.0
2025-03-02,778957,14,Rogers Centre,id:14,9,1.0
2025-03-02,778986,2395,Oracle Park,id:2395,14,1.0
2025-03-02,779013,2680,Petco Park,id:2680,14,0.0
2025-03-02,779036,31,PNC Park,id:31,14,0.0
2025-03-02,779078,4169,loanDepot park,id:4169,8,1.0
2025-03-02,779146,2529,Sutter Health Park,id:2529,12,0.0
2025-03-03,778802,15,Chase Field,id:15,12,1.0
2025-03-03,778829,2602,Great American Ball Park,id:2602,9,1.0
2025-03-03,778859,4,Rate Field,id:4,9,0.0
2025-03-03,778895,3289,Citi Field,id:3289,2,0.5
2025-03-03,778940,7,Kauffman Stadium,id:7,9,1.0
2025-03-03,778973,2523,George M. Steinbrenner Field,id:2523,9,1.0
2025-03-03,779012,680,T-Mobile Park,id:680,9,1.0
2025-03-03,779050,3313,Yankee Stadium,id:3313,15,1.0
2025-03-03,779076,4169,loanDepot park,id:4169,8,0.0
2025-03-03,779112,2394,Comerica Park,id:2394,16,0.0
2025-03-03,779128,2,Oriole Park at Camden Yards,id:2,12,0.5
2025-03-03,779156,1,Angel Stadium,id:1,12,0.0
2025-03-04,778708,4705,Truist Park,id:4705,0,0.5
2025-03-04,778733,3309,Nationals Park,id:3309,10,0.0
2025-03-04,778750,17,Wrigley Field,id:17,17,1.0
2025-03-04,778798,19,Coors Field,id:19,14,1.0
2025-03-04,778825,5,Progressive Field,id:5,9,1.0
2025-03-04,778857,22,Dodger Stadium,id:22,6,1.0
2025-03-04,778909,2681,Citizens Bank Park,id:2681,15,0.0
